Category,Condition,No_of_studies
Blood and Lymph Conditions,Blood Platelet Disorders,822
Blood and Lymph Conditions,Blood Protein Disorders,2610
Blood and Lymph Conditions,Bone Marrow Diseases,3005
Blood and Lymph Conditions,Bone Marrow Neoplasms,149
Blood and Lymph Conditions,Breast Cancer Lymphedema,48
Blood and Lymph Conditions,Burkitt Lymphoma,712
Blood and Lymph Conditions,Castleman Disease,26
Blood and Lymph Conditions,Cat-Scratch Disease,2
Blood and Lymph Conditions,Chediak-Higashi Syndrome,12
Blood and Lymph Conditions,Chemotherapy-Induced Febrile Neutropenia,11
Blood and Lymph Conditions,Churg-Strauss Syndrome,36
Blood and Lymph Conditions,Coagulation Protein Disorders,639
Blood and Lymph Conditions,Composite Lymphoma,2
Blood and Lymph Conditions,Cryoglobulinemia,14
Blood and Lymph Conditions,"Dendritic Cell Sarcoma, Follicular",1
Blood and Lymph Conditions,"Dendritic Cell Sarcoma, Interdigitating",1
Blood and Lymph Conditions,DiGeorge Syndrome,34
Blood and Lymph Conditions,Disseminated Intravascular Coagulation,16
Blood and Lymph Conditions,Ecchymosis,18
Blood and Lymph Conditions,Ehlers-Danlos Syndrome,31
Blood and Lymph Conditions,Elephantiasis,63
Blood and Lymph Conditions,"Elephantiasis, Filarial",40
Blood and Lymph Conditions,"Elliptocytosis, Hereditary",1
Blood and Lymph Conditions,Enteropathy-Associated T-Cell Lymphoma,21
Blood and Lymph Conditions,Eosinophilia,259
Blood and Lymph Conditions,Eosinophilia-Myalgia Syndrome,1
Blood and Lymph Conditions,Eosinophilic Esophagitis,132
Blood and Lymph Conditions,Erdheim-Chester Disease,13
Blood and Lymph Conditions,"Erythroblastosis, Fetal",20
Blood and Lymph Conditions,Factor V Deficiency,1
Blood and Lymph Conditions,Factor VII Deficiency,5
Blood and Lymph Conditions,Factor X Deficiency,4
Blood and Lymph Conditions,Factor XI Deficiency,3
Blood and Lymph Conditions,Factor XII Deficiency,1
Blood and Lymph Conditions,Factor XIII Deficiency,11
Blood and Lymph Conditions,Fanconi Anemia,82
Blood and Lymph Conditions,Favism,1
Blood and Lymph Conditions,Febrile Neutropenia,104
Blood and Lymph Conditions,Fetofetal Transfusion,14
Blood and Lymph Conditions,Fetomaternal Transfusion,4
Blood and Lymph Conditions,Glucosephosphate Dehydrogenase Deficiency,33
Blood and Lymph Conditions,Granuloma,168
Blood and Lymph Conditions,"Granulomatous Disease, Chronic",63
Blood and Lymph Conditions,Gray Platelet Syndrome,2
Blood and Lymph Conditions,"Hemangioma, Cavernous",13
Blood and Lymph Conditions,"Hemangioma, Cavernous, Central Nervous System",9
Blood and Lymph Conditions,Hematologic Diseases,9683
Blood and Lymph Conditions,Hematologic Neoplasms,563
Blood and Lymph Conditions,Hemoglobin C Disease,7
Blood and Lymph Conditions,Hemoglobin SC Disease,23
Blood and Lymph Conditions,Hemoglobinopathies,865
Blood and Lymph Conditions,"Hemoglobinuria, Paroxysmal",102
Blood and Lymph Conditions,Hemolytic-Uremic Syndrome,42
Blood and Lymph Conditions,Hemophilia A,550
Blood and Lymph Conditions,Hemophilia B,182
Blood and Lymph Conditions,Hemorrhagic Disorders,3942
Blood and Lymph Conditions,Hemostatic Disorders,4051
Blood and Lymph Conditions,Hermanski-Pudlak Syndrome,7
Blood and Lymph Conditions,Heterotaxy Syndrome,7
Blood and Lymph Conditions,Histiocytic Necrotizing Lymphadenitis,2
Blood and Lymph Conditions,Histiocytic Sarcoma,4
Blood and Lymph Conditions,Histiocytosis,147
Blood and Lymph Conditions,"Histiocytosis, Langerhans-Cell",48
Blood and Lymph Conditions,"Histiocytosis, Non-Langerhans-Cell",97
Blood and Lymph Conditions,"Histiocytosis, Sinus",2
Blood and Lymph Conditions,Hodgkin Disease,1221
Blood and Lymph Conditions,Hydrops Fetalis,8
Blood and Lymph Conditions,Hyper-IgM Immunodeficiency Syndrome,14
Blood and Lymph Conditions,"Hyper-IgM Immunodeficiency Syndrome, Type 1",13
Blood and Lymph Conditions,Hypereosinophilic Syndrome,95
Blood and Lymph Conditions,Hypergammaglobulinemia,84
Blood and Lymph Conditions,Hypersplenism,6
Blood and Lymph Conditions,Hypoalbuminemia,23
Blood and Lymph Conditions,Hypoproteinemia,19
Blood and Lymph Conditions,Hypoprothrombinemias,1
Blood and Lymph Conditions,IgA Deficiency,1
Blood and Lymph Conditions,IgG Deficiency,7
Blood and Lymph Conditions,Immunoblastic Lymphadenopathy,252
Blood and Lymph Conditions,Infectious Mononucleosis,11
Blood and Lymph Conditions,Intraocular Lymphoma,152
Blood and Lymph Conditions,Job Syndrome,13
Blood and Lymph Conditions,Kasabach-Merritt Syndrome,5
Blood and Lymph Conditions,Kernicterus,7
Blood and Lymph Conditions,"Leukemia, B-Cell",1207
Blood and Lymph Conditions,"Leukemia, Biphenotypic, Acute",30
Blood and Lymph Conditions,"Leukemia, Erythroblastic, Acute",190
Blood and Lymph Conditions,"Leukemia, Hairy Cell",217
Blood and Lymph Conditions,"Leukemia, Large Granular Lymphocytic",124
Blood and Lymph Conditions,"Leukemia, Lymphocytic, Chronic, B-Cell",1689
Blood and Lymph Conditions,"Leukemia, Lymphoid",2903
Blood and Lymph Conditions,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",1197
Blood and Lymph Conditions,"Leukemia, Myeloid, Accelerated Phase",296
Blood and Lymph Conditions,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",34
Blood and Lymph Conditions,"Leukemia, Myeloid, Chronic-Phase",404
Blood and Lymph Conditions,"Leukemia, Myelomonocytic, Chronic",442
Blood and Lymph Conditions,"Leukemia, Myelomonocytic, Juvenile",469
Blood and Lymph Conditions,"Leukemia, Neutrophilic, Chronic",110
Blood and Lymph Conditions,"Leukemia, Prolymphocytic",192
Blood and Lymph Conditions,"Leukemia, Prolymphocytic, B-Cell",16
Blood and Lymph Conditions,"Leukemia, Prolymphocytic, T-Cell",17
Blood and Lymph Conditions,"Leukemia, T-Cell",339
Blood and Lymph Conditions,"Leukemia-Lymphoma, Adult T-Cell",318
Blood and Lymph Conditions,Leukemoid Reaction,5
Blood and Lymph Conditions,Leukocyte Disorders,696
Blood and Lymph Conditions,Leukocytosis,27
Blood and Lymph Conditions,Leukopenia,365
Blood and Lymph Conditions,Lymphadenitis,9
Blood and Lymph Conditions,Lymphadenopathy,205
Blood and Lymph Conditions,Lymphangiectasis,3
Blood and Lymph Conditions,Lymphangioleiomyomatosis,36
Blood and Lymph Conditions,Lymphangiomyoma,35
Blood and Lymph Conditions,Lymphatic Abnormalities,47
Blood and Lymph Conditions,Lymphatic Diseases,7379
Blood and Lymph Conditions,Lymphedema,288
Blood and Lymph Conditions,Lymphocele,22
Blood and Lymph Conditions,Lymphocytosis,17
Blood and Lymph Conditions,"Lymphohistiocytosis, Hemophagocytic",48
Blood and Lymph Conditions,Lymphoma,6335
Blood and Lymph Conditions,"Lymphoma, AIDS-Related",35
Blood and Lymph Conditions,"Lymphoma, B-Cell",1915
Blood and Lymph Conditions,"Lymphoma, B-Cell, Marginal Zone",693
Blood and Lymph Conditions,"Lymphoma, Follicular",1130
Blood and Lymph Conditions,"Lymphoma, Large B-Cell, Diffuse",1345
Blood and Lymph Conditions,"Lymphoma, Large-Cell, Anaplastic",360
Blood and Lymph Conditions,"Lymphoma, Large-Cell, Immunoblastic",545
Blood and Lymph Conditions,"Lymphoma, Mantle-Cell",960
Blood and Lymph Conditions,"Lymphoma, Non-Hodgkin",3662
Blood and Lymph Conditions,"Lymphoma, Primary Cutaneous Anaplastic Large Cell",9
Blood and Lymph Conditions,"Lymphoma, Primary Effusion",13
Blood and Lymph Conditions,"Lymphoma, T-Cell",966
Blood and Lymph Conditions,"Lymphoma, T-Cell, Cutaneous",513
Blood and Lymph Conditions,"Lymphoma, T-Cell, Peripheral",257
Blood and Lymph Conditions,Lymphomatoid Granulomatosis,179
Blood and Lymph Conditions,Lymphomatoid Papulosis,5
Blood and Lymph Conditions,Lymphopenia,64
Blood and Lymph Conditions,Lymphoproliferative Disorders,8625
Blood and Lymph Conditions,Methemoglobinemia,11
Blood and Lymph Conditions,Mevalonate Kinase Deficiency,4
Blood and Lymph Conditions,Monoclonal Gammopathy of Undetermined Significance,92
Blood and Lymph Conditions,Mucocutaneous Lymph Node Syndrome,36
Blood and Lymph Conditions,Multiple Myeloma,2480
Blood and Lymph Conditions,Mycosis Fungoides,392
Blood and Lymph Conditions,Myelodysplastic Syndromes,1868
Blood and Lymph Conditions,Myelodysplastic-Myeloproliferative Diseases,419
Blood and Lymph Conditions,Myeloproliferative Disorders,1608
Blood and Lymph Conditions,Neutropenia,360
Blood and Lymph Conditions,"Niemann-Pick Disease, Type A",46
Blood and Lymph Conditions,"Niemann-Pick Disease, Type B",1
Blood and Lymph Conditions,"Niemann-Pick Disease, Type C",46
Blood and Lymph Conditions,Niemann-Pick Diseases,46
Blood and Lymph Conditions,Pancytopenia,97
Blood and Lymph Conditions,Paraproteinemias,2587
Blood and Lymph Conditions,Phagocyte Bactericidal Dysfunction,68
Blood and Lymph Conditions,Plasmablastic Lymphoma,544
Blood and Lymph Conditions,Platelet Storage Pool Deficiency,9
Blood and Lymph Conditions,POEMS Syndrome,6
Blood and Lymph Conditions,Polycythemia,256
Blood and Lymph Conditions,Polycythemia Vera,242
Blood and Lymph Conditions,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,11
Blood and Lymph Conditions,Precursor Cell Lymphoblastic Leukemia-Lymphoma,1787
Blood and Lymph Conditions,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,67
Blood and Lymph Conditions,"Pregnancy Complications, Hematologic",2
Blood and Lymph Conditions,Preleukemia,1868
Blood and Lymph Conditions,Primary Myelofibrosis,431
Blood and Lymph Conditions,Protein C Deficiency,3
Blood and Lymph Conditions,Pseudolymphoma,2
Blood and Lymph Conditions,Pseudoxanthoma Elasticum,15
Blood and Lymph Conditions,Pulmonary Eosinophilia,38
Blood and Lymph Conditions,Purpura,316
Blood and Lymph Conditions,Purpura Fulminans,2
Blood and Lymph Conditions,"Purpura, Schoenlein-Henoch",23
Blood and Lymph Conditions,"Purpura, Thrombocytopenic",285
Blood and Lymph Conditions,"Purpura, Thrombocytopenic, Idiopathic",247
Blood and Lymph Conditions,"Purpura, Thrombotic Thrombocytopenic",36
Blood and Lymph Conditions,"Red-Cell Aplasia, Pure",60
Blood and Lymph Conditions,Sarcoidosis,214
Blood and Lymph Conditions,"Sarcoidosis, Pulmonary",38
Blood and Lymph Conditions,Scurvy,7
Blood and Lymph Conditions,Sezary Syndrome,341
Blood and Lymph Conditions,Sickle Cell Trait,23
Blood and Lymph Conditions,Smoldering Multiple Myeloma,60
Blood and Lymph Conditions,"Spherocytosis, Hereditary",4
Blood and Lymph Conditions,Splenic Rupture,2
Blood and Lymph Conditions,"T-Lymphocytopenia, Idiopathic CD4-Positive",5
Blood and Lymph Conditions,"Telangiectasia, Hereditary Hemorrhagic",58
Blood and Lymph Conditions,Thalassemia,319
Blood and Lymph Conditions,Thrombasthenia,10
Blood and Lymph Conditions,"Thrombocythemia, Essential",239
Blood and Lymph Conditions,Thrombocytopenia,629
Blood and Lymph Conditions,"Thrombocytopenia, Neonatal Alloimmune",8
Blood and Lymph Conditions,Thrombocytosis,250
Blood and Lymph Conditions,Thrombophilia,138
Blood and Lymph Conditions,Thrombotic Microangiopathies,321
Blood and Lymph Conditions,Thymoma,84
Blood and Lymph Conditions,Thymus Neoplasms,84
Blood and Lymph Conditions,Transfusion Reaction,32
Blood and Lymph Conditions,Transfusion-Related Acute Lung Injury,7
Blood and Lymph Conditions,Tumor Lysis Syndrome,20
Blood and Lymph Conditions,Vitamin K Deficiency,5
Blood and Lymph Conditions,"Von Willebrand Disease, Type 1",5
Blood and Lymph Conditions,"Von Willebrand Disease, Type 2",2
Blood and Lymph Conditions,"Von Willebrand Disease, Type 3",3
Blood and Lymph Conditions,Von Willebrand Diseases,59
Blood and Lymph Conditions,Waldenstrom Macroglobulinemia,464
Blood and Lymph Conditions,Wiskott-Aldrich Syndrome,36
Blood and Lymph Conditions,"Xanthogranuloma, Juvenile",2
Cancers and Other Neoplasms,Abdominal Neoplasms,471
Cancers and Other Neoplasms,Aberrant Crypt Foci,4
Cancers and Other Neoplasms,"ACTH Syndrome, Ectopic",9
Cancers and Other Neoplasms,ACTH-Secreting Pituitary Adenoma,52
Cancers and Other Neoplasms,Adamantinoma,99
Cancers and Other Neoplasms,Adenocarcinoma,7464
Cancers and Other Neoplasms,Adenocarcinoma in Situ,13
Cancers and Other Neoplasms,Adenocarcinoma of Lung,349
Cancers and Other Neoplasms,"Adenocarcinoma, Bronchiolo-Alveolar",105
Cancers and Other Neoplasms,"Adenocarcinoma, Clear Cell",99
Cancers and Other Neoplasms,"Adenocarcinoma, Follicular",56
Cancers and Other Neoplasms,"Adenocarcinoma, Mucinous",62
Cancers and Other Neoplasms,"Adenocarcinoma, Papillary",87
Cancers and Other Neoplasms,"Adenocarcinoma, Scirrhous",1
Cancers and Other Neoplasms,"Adenocarcinoma, Sebaceous",2
Cancers and Other Neoplasms,Adenoma,1076
Cancers and Other Neoplasms,"Adenoma, Acidophil",2
Cancers and Other Neoplasms,"Adenoma, Basophil",2
Cancers and Other Neoplasms,"Adenoma, Bile Duct",2
Cancers and Other Neoplasms,"Adenoma, Chromophobe",2
Cancers and Other Neoplasms,"Adenoma, Islet Cell",124
Cancers and Other Neoplasms,"Adenoma, Liver Cell",2
Cancers and Other Neoplasms,"Adenoma, Oxyphilic",7
Cancers and Other Neoplasms,"Adenoma, Pleomorphic",60
Cancers and Other Neoplasms,"Adenoma, Villous",5
Cancers and Other Neoplasms,Adenomatous Polyposis Coli,57
Cancers and Other Neoplasms,Adenomatous Polyps,106
Cancers and Other Neoplasms,Adenomyoepithelioma,44
Cancers and Other Neoplasms,Adenosarcoma,5
Cancers and Other Neoplasms,Adrenal Cortex Neoplasms,78
Cancers and Other Neoplasms,Adrenal Gland Neoplasms,105
Cancers and Other Neoplasms,Adrenocortical Adenoma,32
Cancers and Other Neoplasms,Adrenocortical Carcinoma,71
Cancers and Other Neoplasms,Ameloblastoma,43
Cancers and Other Neoplasms,Anaplasia,1
Cancers and Other Neoplasms,Angiofibroma,10
Cancers and Other Neoplasms,Angiokeratoma,2
Cancers and Other Neoplasms,Angiolipoma,1
Cancers and Other Neoplasms,Angiomyolipoma,15
Cancers and Other Neoplasms,Anti-N-Methyl-D-Aspartate Receptor Encephalitis,4
Cancers and Other Neoplasms,Anus Neoplasms,173
Cancers and Other Neoplasms,Appendiceal Neoplasms,28
Cancers and Other Neoplasms,Apudoma,2
Cancers and Other Neoplasms,Astrocytoma,1487
Cancers and Other Neoplasms,Atypical Squamous Cells of the Cervix,6
Cancers and Other Neoplasms,Barrett Esophagus,235
Cancers and Other Neoplasms,Basal Cell Nevus Syndrome,32
Cancers and Other Neoplasms,Bile Duct Neoplasms,141
Cancers and Other Neoplasms,Biliary Tract Neoplasms,355
Cancers and Other Neoplasms,Birt-Hogg-Dube Syndrome,6
Cancers and Other Neoplasms,Blast Crisis,374
Cancers and Other Neoplasms,Bone Cysts,43
Cancers and Other Neoplasms,"Bone Cysts, Aneurysmal",3
Cancers and Other Neoplasms,Bone Marrow Neoplasms,149
Cancers and Other Neoplasms,Bone Neoplasms,340
Cancers and Other Neoplasms,Bowen's Disease,14
Cancers and Other Neoplasms,Brain Neoplasms,1681
Cancers and Other Neoplasms,Brain Stem Neoplasms,15
Cancers and Other Neoplasms,Breast Carcinoma In Situ,238
Cancers and Other Neoplasms,Breast Cyst,5
Cancers and Other Neoplasms,Breast Neoplasms,8922
Cancers and Other Neoplasms,"Breast Neoplasms, Male",281
Cancers and Other Neoplasms,Brenner Tumor,72
Cancers and Other Neoplasms,Bronchial Neoplasms,4506
Cancers and Other Neoplasms,Burkitt Lymphoma,712
Cancers and Other Neoplasms,Carcinogenesis,183
Cancers and Other Neoplasms,Carcinoid Heart Disease,1
Cancers and Other Neoplasms,Carcinoid Tumor,186
Cancers and Other Neoplasms,Carcinoma,16925
Cancers and Other Neoplasms,Carcinoma in Situ,617
Cancers and Other Neoplasms,"Carcinoma, Acinar Cell",45
Cancers and Other Neoplasms,"Carcinoma, Adenoid Cystic",114
Cancers and Other Neoplasms,"Carcinoma, Adenosquamous",107
Cancers and Other Neoplasms,"Carcinoma, Basal Cell",294
Cancers and Other Neoplasms,"Carcinoma, Basosquamous",1
Cancers and Other Neoplasms,"Carcinoma, Bronchogenic",4502
Cancers and Other Neoplasms,"Carcinoma, Ductal",271
Cancers and Other Neoplasms,"Carcinoma, Ductal, Breast",174
Cancers and Other Neoplasms,"Carcinoma, Embryonal",39
Cancers and Other Neoplasms,"Carcinoma, Endometrioid",110
Cancers and Other Neoplasms,"Carcinoma, Giant Cell",3
Cancers and Other Neoplasms,"Carcinoma, Hepatocellular",1728
Cancers and Other Neoplasms,"Carcinoma, Intraductal, Noninfiltrating",199
Cancers and Other Neoplasms,"Carcinoma, Islet Cell",68
Cancers and Other Neoplasms,"Carcinoma, Large Cell",20
Cancers and Other Neoplasms,"Carcinoma, Lobular",79
Cancers and Other Neoplasms,"Carcinoma, Medullary",48
Cancers and Other Neoplasms,"Carcinoma, Merkel Cell",69
Cancers and Other Neoplasms,"Carcinoma, Mucoepidermoid",78
Cancers and Other Neoplasms,"Carcinoma, Neuroendocrine",250
Cancers and Other Neoplasms,"Carcinoma, Non-Small-Cell Lung",4520
Cancers and Other Neoplasms,"Carcinoma, Ovarian Epithelial",2193
Cancers and Other Neoplasms,"Carcinoma, Pancreatic Ductal",34
Cancers and Other Neoplasms,"Carcinoma, Papillary",38
Cancers and Other Neoplasms,"Carcinoma, Papillary, Follicular",1
Cancers and Other Neoplasms,"Carcinoma, Renal Cell",1502
Cancers and Other Neoplasms,"Carcinoma, Signet Ring Cell",12
Cancers and Other Neoplasms,"Carcinoma, Skin Appendage",2
Cancers and Other Neoplasms,"Carcinoma, Small Cell",98
Cancers and Other Neoplasms,"Carcinoma, Squamous Cell",2088
Cancers and Other Neoplasms,"Carcinoma, Transitional Cell",530
Cancers and Other Neoplasms,"Carcinoma, Verrucous",141
Cancers and Other Neoplasms,Carcinosarcoma,74
Cancers and Other Neoplasms,Carney Complex,4
Cancers and Other Neoplasms,Carotid Body Tumor,78
Cancers and Other Neoplasms,"Cell Transformation, Neoplastic",142
Cancers and Other Neoplasms,Central Nervous System Neoplasms,1692
Cancers and Other Neoplasms,Cerebellar Neoplasms,3
Cancers and Other Neoplasms,Cervical Intraepithelial Neoplasia,306
Cancers and Other Neoplasms,Chalazion,8
